,Date/Time,Lat,Lon,Base
319,9/1/2014 15:17:00,40.7183,-73.9941,B02512
320,9/1/2014 15:18:00,40.7202,-73.9991,B02512
321,9/1/2014 15:18:00,40.7452,-73.9941,B02512
322,9/1/2014 15:25:00,40.7209,-74.0016,B02512
323,9/1/2014 15:25:00,40.7549,-73.9841,B02512
324,9/1/2014 15:25:00,40.7685,-73.8624,B02512
325,9/1/2014 15:27:00,40.7201,-73.9951,B02512
326,9/1/2014 15:27:00,40.7366,-73.9552,B02512
327,9/1/2014 15:27:00,40.7449,-73.8433,B02512
328,9/1/2014 15:28:00,40.7327,-74.0049,B02512
329,9/1/2014 15:31:00,40.7439,-73.9919,B02512
330,9/1/2014 15:33:00,40.8019,-73.9652,B02512
331,9/1/2014 15:33:00,40.7439,-73.9925,B02512
332,9/1/2014 15:34:00,40.7231,-74.0026,B02512
333,9/1/2014 15:35:00,40.6447,-73.7825,B02512
334,9/1/2014 15:35:00,40.7369,-74.0078,B02512
335,9/1/2014 15:37:00,40.703,-73.9948,B02512
336,9/1/2014 15:37:00,40.7739,-73.8718,B02512
337,9/1/2014 15:40:00,40.7741,-73.872,B02512
338,9/1/2014 15:40:00,40.6461,-73.7769,B02512
339,9/1/2014 15:44:00,40.7664,-73.9782,B02512
340,9/1/2014 15:45:00,40.7366,-74.0013,B02512
341,9/1/2014 15:46:00,40.6854,-73.9749,B02512
342,9/1/2014 15:48:00,40.7564,-73.982,B02512
343,9/1/2014 15:51:00,40.7225,-74.0081,B02512
344,9/1/2014 15:52:00,40.7025,-73.9931,B02512
345,9/1/2014 15:53:00,40.7299,-74.0083,B02512
346,9/1/2014 15:53:00,40.6457,-73.7766,B02512
347,9/1/2014 15:54:00,40.6457,-73.7767,B02512
348,9/1/2014 15:54:00,40.7774,-73.9564,B02512
349,9/1/2014 15:55:00,40.6844,-73.9775,B02512
350,9/1/2014 15:56:00,40.7561,-73.9942,B02512
351,9/1/2014 15:58:00,40.7431,-74.0068,B02512
352,9/1/2014 15:58:00,40.7354,-73.983,B02512
353,9/1/2014 15:59:00,40.7631,-73.9843,B02512
354,9/1/2014 15:59:00,40.8045,-73.9673,B02512
355,9/1/2014 16:01:00,40.7518,-73.9927,B02512
356,9/1/2014 16:03:00,40.72,-73.9575,B02512
357,9/1/2014 16:03:00,40.6449,-73.7819,B02512
358,9/1/2014 16:05:00,40.7607,-73.9992,B02512
359,9/1/2014 16:08:00,40.6916,-74.1772,B02512
360,9/1/2014 16:08:00,40.7077,-74.0122,B02512
361,9/1/2014 16:09:00,40.749,-73.9722,B02512
362,9/1/2014 16:11:00,40.6468,-73.7892,B02512
363,9/1/2014 16:13:00,40.7598,-73.9778,B02512
364,9/1/2014 16:14:00,40.6805,-73.9495,B02512
365,9/1/2014 16:15:00,40.6869,-73.9581,B02512
366,9/1/2014 16:15:00,40.7544,-73.9956,B02512
367,9/1/2014 16:16:00,40.705,-74.0089,B02512
368,9/1/2014 16:17:00,40.7532,-73.9834,B02512
369,9/1/2014 16:17:00,40.7097,-74.0179,B02512
370,9/1/2014 16:17:00,40.7472,-73.9857,B02512
371,9/1/2014 16:18:00,40.7547,-73.9661,B02512
372,9/1/2014 16:18:00,40.7546,-73.846,B02512
373,9/1/2014 16:18:00,40.7579,-73.9888,B02512
374,9/1/2014 16:18:00,40.7886,-73.9526,B02512
375,9/1/2014 16:21:00,40.6486,-73.7839,B02512
376,9/1/2014 16:21:00,40.7498,-73.9832,B02512
377,9/1/2014 16:23:00,40.7779,-73.9523,B02512
378,9/1/2014 16:25:00,40.7482,-73.9806,B02512
379,9/1/2014 16:27:00,40.7747,-73.9826,B02512
380,9/1/2014 16:28:00,40.7489,-73.9759,B02512
381,9/1/2014 16:28:00,40.7222,-73.9968,B02512
382,9/1/2014 16:28:00,40.7829,-73.9711,B02512
383,9/1/2014 16:30:00,40.742,-74.004,B02512
384,9/1/2014 16:30:00,40.7635,-73.9777,B02512
385,9/1/2014 16:33:00,40.7553,-73.9835,B02512
386,9/1/2014 16:34:00,40.7448,-73.8435,B02512
387,9/1/2014 16:34:00,40.753,-73.9953,B02512
388,9/1/2014 16:39:00,40.7344,-73.9901,B02512
389,9/1/2014 16:41:00,40.7635,-73.9807,B02512
390,9/1/2014 16:42:00,40.703,-74.0116,B02512
391,9/1/2014 16:43:00,40.7381,-74.005,B02512
392,9/1/2014 16:43:00,40.668,-73.8014,B02512
393,9/1/2014 16:46:00,40.7198,-73.9562,B02512
394,9/1/2014 16:47:00,40.7824,-73.9762,B02512
395,9/1/2014 16:48:00,40.6447,-73.7819,B02512
396,9/1/2014 16:48:00,40.7547,-73.8455,B02512
397,9/1/2014 16:50:00,40.7478,-73.9887,B02512
398,9/1/2014 16:51:00,40.7209,-73.9948,B02512
399,9/1/2014 16:52:00,40.7547,-73.8461,B02512
400,9/1/2014 16:55:00,40.7327,-73.9875,B02512
401,9/1/2014 16:56:00,40.746,-74.0039,B02512
402,9/1/2014 16:56:00,40.7063,-74.0179,B02512
